origin,destination,date,multi_stop_price,direct_price,num_stops,segments
DXB,LHR,2025-07-24,258.46,293.27,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-24,258.46,293.27,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-24,274.46,293.27,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-24,274.46,293.27,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-25,258.46,290.38,1,"[['DXB', 'JED'], ['JED', 'LHR']]"
DXB,LHR,2025-07-25,274.46,290.38,1,"[['DXB', 'JED'], ['JED', 'LHR']]"
DXB,LHR,2025-07-26,258.46,291.69,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-26,258.46,291.69,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-26,274.46,291.69,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-26,274.46,291.69,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-27,258.46,303.92,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-27,274.46,303.92,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-27,293.46,303.92,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-27,298.78,303.92,1,"[['DXB', 'CAI'], ['CAI', 'LHR']]"
DXB,LHR,2025-07-28,258.46,298.05,1,"[['DXB', 'JED'], ['JED', 'LHR']]"
DXB,LHR,2025-07-28,274.46,298.05,1,"[['DXB', 'JED'], ['JED', 'LHR']]"
DXB,LHR,2025-07-28,293.46,298.05,1,"[['DXB', 'JED'], ['JED', 'LHR']]"
DXB,LHR,2025-07-28,297.78,298.05,1,"[['DXB', 'CAI'], ['CAI', 'LHR']]"
DXB,LHR,2025-07-29,258.46,289.28,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-29,269.7,289.28,1,"[['DXB', 'GYD'], ['GYD', 'LHR']]"
DXB,LHR,2025-07-29,274.46,289.28,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-30,258.46,290.6,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-30,258.46,290.6,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-30,274.46,290.6,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-30,274.46,290.6,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-31,293.7,298.55,1,"[['DXB', 'GYD'], ['GYD', 'LHR']]"
DXB,LHR,2025-07-31,297.78,298.55,1,"[['DXB', 'CAI'], ['CAI', 'LHR']]"
DXB,LHR,2025-08-02,258.46,296.27,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-02,269.7,296.27,1,"[['DXB', 'GYD'], ['GYD', 'LHR']]"
DXB,LHR,2025-08-02,274.46,296.27,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-02,293.46,296.27,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-03,258.46,291.61,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-03,258.46,291.61,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-03,274.46,291.61,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-03,274.46,291.61,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-04,258.46,289.78,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-04,274.46,289.78,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-05,258.46,294.57,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-05,269.7,294.57,1,"[['DXB', 'GYD'], ['GYD', 'LHR']]"
DXB,LHR,2025-08-05,274.46,294.57,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-05,293.46,294.57,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-06,258.46,304.68,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-06,274.46,304.68,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-06,293.46,304.68,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-06,301.78,304.68,1,"[['DXB', 'CAI'], ['CAI', 'LHR']]"
DXB,LHR,2025-08-07,269.7,296.51,1,"[['DXB', 'GYD'], ['GYD', 'LHR']]"
DXB,LHR,2025-08-08,258.46,290.32,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-08,274.46,290.32,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-09,258.46,290.35,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-09,274.46,290.35,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-11,258.46,303.57,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-11,274.46,303.57,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-11,293.46,303.57,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-11,299.78,303.57,1,"[['DXB', 'CAI'], ['CAI', 'LHR']]"
DXB,LHR,2025-08-12,269.7,300.75,1,"[['DXB', 'GYD'], ['GYD', 'LHR']]"
DXB,LHR,2025-08-12,299.78,300.75,1,"[['DXB', 'CAI'], ['CAI', 'LHR']]"
DXB,LHR,2025-08-14,258.46,289.65,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-08-14,258.46,289.65,1,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
