origin,destination,date,airline_name,airline_code,total_amount,total_currency,segments
DXB,LHR,2025-07-24,Saudi Arabian Airlines,SV,258.46,USD,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-24,Saudi Arabian Airlines,SV,258.46,USD,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-24,Saudi Arabian Airlines,SV,274.46,USD,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-24,Saudi Arabian Airlines,SV,274.46,USD,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-24,Iberia,IB,293.27,USD,"[['DXB', 'LHR']]"
DXB,LHR,2025-07-24,Saudi Arabian Airlines,SV,293.46,USD,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-24,Saudi Arabian Airlines,SV,293.46,USD,"[['DXB', 'RUH'], ['RUH', 'LHR']]"
DXB,LHR,2025-07-24,Azerbaijan Airlines,J2,293.70,USD,"[['DXB', 'GYD'], ['GYD', 'LHR']]"
DXB,LHR,2025-07-24,EgyptAir,MS,297.78,USD,"[['DXB', 'CAI'], ['CAI', 'LHR']]"
DXB,LHR,2025-07-24,EgyptAir,MS,299.78,USD,"[['DXB', 'CAI'], ['CAI', 'LHR']]"
DXB,LHR,2025-07-24,EgyptAir,MS,305.78,USD,"[['DXB', 'CAI'], ['CAI', 'LHR']]"
DXB,LHR,2025-07-24,EgyptAir,MS,307.78,USD,"[['DXB', 'CAI'], ['CAI', 'LHR']]"
DXB,LHR,2025-07-24,American Airlines,AA,308.10,USD,"[['DXB', 'LHR']]"
DXB,LHR,2025-07-24,British Airways,BA,311.85,USD,"[['DXB', 'LHR']]"
DXB,LHR,2025-07-24,Duffel Airways,ZZ,313.72,USD,"[['DXB', 'LHR']]"
DXB,LHR,2025-07-24,Saudi Arabian Airlines,SV,321.46,USD,"[['DXB', 'JED'], ['JED', 'LHR']]"
DXB,LHR,2025-07-24,Saudi Arabian Airlines,SV,337.46,USD,"[['DXB', 'JED'], ['JED', 'LHR']]"
DXB,LHR,2025-07-24,Kuwait Airways,KU,343.10,USD,"[['DXB', 'KWI'], ['KWI', 'LHR']]"
DXB,LHR,2025-07-24,Kuwait Airways,KU,343.10,USD,"[['DXB', 'KWI'], ['KWI', 'LHR']]"
DXB,LHR,2025-07-24,Saudi Arabian Airlines,SV,356.46,USD,"[['DXB', 'JED'], ['JED', 'LHR']]"
DXB,LHR,2025-07-24,Qatar Airways,QR,364.70,USD,"[['DXB', 'DOH'], ['DOH', 'LHR']]"
DXB,LHR,2025-07-24,Turkish Airlines,TK,372.60,USD,"[['DXB', 'IST'], ['IST', 'LHR']]"
DXB,LHR,2025-07-24,Turkish Airlines,TK,372.60,USD,"[['DXB', 'IST'], ['IST', 'LHR']]"
DXB,LHR,2025-07-24,Azerbaijan Airlines,J2,375.70,USD,"[['DXB', 'GYD'], ['GYD', 'LHR']]"
DXB,LHR,2025-07-24,Royal Jordanian,RJ,402.20,USD,"[['DXB', 'AMM'], ['AMM', 'LHR']]"
DXB,LHR,2025-07-24,Royal Jordanian,RJ,402.20,USD,"[['DXB', 'AMM'], ['AMM', 'LHR']]"
DXB,LHR,2025-07-24,Gulf Air Bahrain,GF,425.50,USD,"[['DXB', 'BAH'], ['BAH', 'LHR']]"
DXB,LHR,2025-07-24,Gulf Air Bahrain,GF,425.50,USD,"[['DXB', 'BAH'], ['BAH', 'LHR']]"
DXB,LHR,2025-07-24,Gulf Air Bahrain,GF,425.50,USD,"[['DXB', 'BAH'], ['BAH', 'LHR']]"
DXB,LHR,2025-07-24,Qatar Airways,QR,430.70,USD,"[['DXB', 'DOH'], ['DOH', 'LHR']]"
