airline,type,name,miles_required,miles_fee,cash_value,taxes_fees
"United","Flight","ORD -> LGA",20200,5.60,232.28,30.44
"United","Flight","ORD -> EWR",22600,5.60,271.43,33.17
"United","Flight","MCO -> EWR",40000,5.60,512.36,59.00
"United","Hotel","New York",62412,40.00,419.10,51.75
"United","Hotel","Miami",26875,40.00,240.01,23.01
"United","Hotel","Los Angeles",24262,0.00,178.31,26.16
"United","Gift Card","Apple",33333,0.00,100.00,0.00
"United","Gift Card","Starbucks",33333,0.00,100.00,0.00
"United","Gift Card","Spotify",39999,0.00,99.00,0.00
"Emirates","Flight","BKK -> DXB",35000,118.55,585.09,118.55
"Emirates","Flight","DXB -> BOM",10000,92.58,147.04,92.58
"Emirates","Flight","DXB -> CAI",10000,89.86,296.80,89.86
"Emirates","Hotel","Dubai",17566,5.00,90.50,21.07
"Emirates","Hotel","London",60339,0.00,332.23,55.38
"Emirates","Hotel","Bangkok",28920,0.00,137.40,22.62
"Emirates","Gift Card","Apple",2000,0.00,10.00,0.00
"Emirates","Gift Card","Starbucks",5000,0.00,25.00,0.00
"Emirates","Gift Card","Spotify",9000,0.00,30.00,0.00
